name;planet_mass;planet_radius;planet_luminosity;star_planet_distance;planet_rotation_rate;planet_orbital_period;star_mass;star_radius;star_age;earth_distance;star_magfield;star_rotperiod;star_luminosity;spectral_type;spectral_type_code;dynamo_density;dynamo_radius;B_dyn;B_eq;magnetic_moment;standoff_distance;sw_density;sw_velocity;coronal_temperature;sw_magfield;alfven_velocity;magnetic_field_planet;freq_max_planet;pow_emission_kinetic;pow_emission_magnetic;pow_emission_spi;flux_kinetic_au;flux_magnetic_au;flux_spi_au;pow_received_kinetic;pow_received_magnetic;pow_received_spi;star_magnetic_field;freq_max_star
;MJ;RJ;LS;AU;wJ;w_orb_J;MS;RS;yr;pc;T;days;LS;;;rho_dyn_J;r_dyn_J;T;T;MmagJ;Rp;m-3;m.s-1;K;T;m.s-1;T;MHz;10^14W;10^14W;10^14W;10^10Jy;10^10Jy;10^10Jy;mJy;mJy;mJy;T;MHz
14 Her b;9.1;1.087404684212819;7.743653027681312e-08;1.795195;1.0;0.0004436671906206252;0.9;0.708;5100000000.0;18.1;0.0001335513416900771;27.399574977627374;0.41764722707894464;K0 V;1;5.150791120747493;1.25079202961195;0.11973822479339503;0.040005345117894706;4.966893376417822;52.782087222581225;779843.109093857;442402.3201356938;739163.9344262296;1.2070091118824947e-09;1278148.4597435372;0.0032983253500735578;92.32831826795577;0.01025593449572671;0.025165874656112128;0.025165874656112128;0.031021979500313972;0.0761213176639018;18.79972664853462;0.022256732680672846;0.05461327245506354;13.487872058000745;0.0001335513416900771;3.7384337419590694
14 Her c;6.9;1.539991909063195;4.332122354024265e-08;9.863999999999999;1.0;3.444650491967314e-05;0.9;0.708;5100000000.0;18.1;0.0001335513416900771;27.399574977627374;0.41764722707894464;K0 V;1;1.6153965909624681;1.6617120281841269;0.06277748721446037;0.020594765687684563;7.517695886749304;73.46312193936424;21461.181230297083;531932.1628777414;739163.9344262296;2.2598769699208954e-10;1442554.9228485331;0.0017575661911712567;49.19864278150718;0.0019061554055065032;0.004121160220919248;0.004121160220919248;0.010820177270046083;0.02339351976223557;3.0786406865171028;0.007762940886943429;0.01678369092477948;2.208772099116396;0.0001335513416900771;3.7384337419590694
16 Cyg B b;1.8937088829419724;0.9702944925107936;1.1192481332431748e-09;0.52248;0.0029933650571606603;0.0029933650571606603;1.01;0.98;8000000000.0;21.41;9.757426662178769e-05;37.502203467065705;0.7322291715776864;G2.5 V;1;1.7414908354154062;1.0550043388772814;0.025645264877074424;0.006837767121451289;0.014165444293524338;6.271701027560244;9470066.478888372;297682.08401633054;569000.0;2.192076283788585e-09;666121.6074554625;1.324041981767812e-05;0.3706322345976789;0.0004265296633155159;0.0006278557391578054;0.0006278557391578054;0.3213921353194582;0.4730922935393493;0.641966452409953;0.16479763062777056;0.24258368664201171;0.3291759152554176;9.757426662178769e-05;2.731346058149745
38 Vir b;5.207699428090423;1.0307195715616215;7.937986312159107e-08;1.7654;1.0;0.0005209305461100948;1.18;1.45;1900000000.0;;0.0002650167348990943;13.80761860715425;1.5422851982775383;F6 V;1;3.57181541052711;1.1719951301064153;0.11709746985147541;0.03747671733731187;3.2937059791738306;24.469472902263437;21128977.123398706;666205.2173766908;1508379.3103448276;2.452676820936134e-09;498971.18019815575;0.0025682985955501037;71.89305631471603;0.18322854291359672;0.030216000143490743;;0.7117629450202444;0.11737597705508564;;;;;0.0002650167348990943;7.418476605272537
47 Uma b;2.921392362099506;1.1177815113723601;3.5570916872436576e-09;2.0328;1.0;0.0003938947008329875;1.03;1.24;7400000000.0;13.97;0.00010302852144617261;35.516864152144315;0.8051804996227069;G0V;1;1.7543670531481645;1.2162248338053425;0.034362172471098545;0.010149006564083067;2.6278995806053516;42.26889772339097;912268.4019148108;387267.2309285783;600571.4285714286;8.216580168592594e-10;804459.4404253557;0.0016066462097472202;44.97401767664854;0.00545344408646741;0.006917778464900354;0.006917778464900354;0.033864009065121256;0.04295702109190153;6.698798949123317;0.04078445022202506;0.05173570810945757;8.067763972141949;0.00010302852144617261;2.8840241968691744
47 Uma c;0.6235382907247958;1.0253106018969946;1.2682579587864851e-10;3.2472000000000003;1.0;0.00019510057923368798;1.03;1.24;7400000000.0;13.97;0.00010302852144617261;35.516864152144315;0.8051804996227069;G0V;1;0.7001110442103579;0.9092135044090476;0.009669753088940651;0.0013155970283848099;0.599672365668038;32.6277705348041;336156.023977878;411597.6457489819;600571.4285714286;5.229933103063595e-10;843529.0747694123;0.0004750397434119412;13.297542226599209;0.0012094990506862412;0.0014933749470940607;0.0014933749470940607;0.02540173301007103;0.0313636556130319;1.4461027592887628;0.03059282536542467;0.03777312510962901;1.7416279888399686;0.00010302852144617261;2.8840241968691744
47 Uma d;1.8937088829419724;1.4415496453059529;1.2647915435633112e-09;9.744;1.0;3.753325274396135e-05;1.03;1.24;7400000000.0;13.97;0.00010302852144617261;35.516864152144315;0.8051804996227069;G0V;1;0.7390005984638126;1.31034825334389;0.0168315587388892;0.004487778913542734;2.213991578110239;50.819897073446164;33107.385179457844;463837.7603435844;600571.4285714286;1.763905800000883e-10;906540.725863139;0.0006310581903460644;17.66488604363189;0.0008175423265837711;0.0009180401259547093;0.0009180401259547093;0.012924941905910821;0.014513762663325346;0.8889799322428905;0.015566280081324388;0.01747979188578565;1.0706516681240308;0.00010302852144617261;2.8840241968691744
61 Vir b;0.018475208614068026;0.22493254021102105;1.0698114698589603e-12;0.04417688;0.1180790215586143;0.1180790215586143;0.95;0.94;8960000000.0;8.52;9.015433117759116e-05;40.58873214634358;0.543613382537878;G5V;1;1.4325292109493761;0.23932412821189947;0.006426975731606527;-1.2535587651558588;0.0014146363023281633;5.624636780926821;3291565744.2425804;161797.57842113095;521445.7831325301;6.967412387690223e-07;11356503.03274264;0.0001061378263133061;2.971061362368449;0.001028898228154766;1.490138404488753;1.490138404488753;0.09671414372164504;140.069693846523;1649.02702322254;0.3131553634970374;453.5383781887302;5339.46367100099;9.015433117759116e-05;2.5236436369182598
61 Vir c;0.0661643408491311;0.342877689043377;6.397376209495292e-12;0.18705;0.013552790896395208;0.013552790896395208;0.95;0.94;8960000000.0;8.52;9.015433117759116e-05;40.58873214634358;0.543613382537878;G5V;1;1.444891826957664;0.3652135417677415;0.00882353376056337;-0.012057719035751436;0.0010742492768160282;5.839187388352669;73933286.99742195;219759.67516157278;521445.7831325301;6.584592685385743e-09;716115.8391065223;2.2754622979479594e-05;0.6369584105673138;0.0001450198993676921;0.0004526964932729672;0.0004526964932729672;0.06358368825846518;0.1984838827600326;0.5009660501846613;0.20588067311405742;0.6426804814910492;1.6221019957202214;9.015433117759116e-05;2.5236436369182598
